T13,Gross domestic product and gross domestic product per capita,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
275,State of Palestine,2015,GDP per capita (US dollars),"3,116",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
275,State of Palestine,2019,GDP per capita (US dollars),"3,490",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
275,State of Palestine,2020,GDP per capita (US dollars),"3,094",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
275,State of Palestine,2021,GDP per capita (US dollars),"3,514",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
275,State of Palestine,1995,GDP in constant 2015 prices (millions of US dollars),"5,418",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
275,State of Palestine,2005,GDP in constant 2015 prices (millions of US dollars),"8,740",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
275,State of Palestine,2010,GDP in constant 2015 prices (millions of US dollars),"11,082",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
275,State of Palestine,2015,GDP in constant 2015 prices (millions of US dollars),"13,972",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
275,State of Palestine,2019,GDP in constant 2015 prices (millions of US dollars),"15,829",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
275,State of Palestine,2020,GDP in constant 2015 prices (millions of US dollars),"14,037",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
275,State of Palestine,2021,GDP in constant 2015 prices (millions of US dollars),"15,027",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
275,State of Palestine,1995,GDP real rates of growth (percent),7.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
275,State of Palestine,2005,GDP real rates of growth (percent),11.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
275,State of Palestine,2010,GDP real rates of growth (percent),5.8,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
275,State of Palestine,2015,GDP real rates of growth (percent),3.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
275,State of Palestine,2019,GDP real rates of growth (percent),1.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
275,State of Palestine,2020,GDP real rates of growth (percent),-11.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
275,State of Palestine,2021,GDP real rates of growth (percent),7.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
729,Sudan,2010,GDP in current prices (millions of US dollars),"54,740",Data compiled in accordance with the System of National Accounts 1968 (1968 SNA).,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
729,Sudan,2015,GDP in current prices (millions of US dollars),"83,934",Data compiled in accordance with the System of National Accounts 1968 (1968 SNA).,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
729,Sudan,2019,GDP in current prices (millions of US dollars),"35,119",Data compiled in accordance with the System of National Accounts 1968 (1968 SNA).,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
729,Sudan,2020,GDP in current prices (millions of US dollars),"34,286",Data compiled in accordance with the System of National Accounts 1968 (1968 SNA).,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
729,Sudan,2021,GDP in current prices (millions of US dollars),"35,867",Data compiled in accordance with the System of National Accounts 1968 (1968 SNA).,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
729,Sudan,2010,GDP per capita (US dollars),"1,622",Data compiled in accordance with the System of National Accounts 1968 (1968 SNA).,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
729,Sudan,2015,GDP per capita (US dollars),"2,199",Data compiled in accordance with the System of National Accounts 1968 (1968 SNA).,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
729,Sudan,2019,GDP per capita (US dollars),812,Data compiled in accordance with the System of National Accounts 1968 (1968 SNA).,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
729,Sudan,2020,GDP per capita (US dollars),771,Data compiled in accordance with the System of National Accounts 1968 (1968 SNA).,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
729,Sudan,2021,GDP per capita (US dollars),786,Data compiled in accordance with the System of National Accounts 1968 (1968 SNA).,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
729,Sudan,2010,GDP in constant 2015 prices (millions of US dollars),"72,125",Data compiled in accordance with the System of National Accounts 1968 (1968 SNA).,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
729,Sudan,2015,GDP in constant 2015 prices (millions of US dollars),"83,934",Data compiled in accordance with the System of National Accounts 1968 (1968 SNA).,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
729,Sudan,2019,GDP in constant 2015 prices (millions of US dollars),"94,753",Data compiled in accordance with the System of National Accounts 1968 (1968 SNA).,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
729,Sudan,2020,GDP in constant 2015 prices (millions of US dollars),"91,313",Data compiled in accordance with the System of National Accounts 1968 (1968 SNA).,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
729,Sudan,2021,GDP in constant 2015 prices (millions of US dollars),"91,418",Data compiled in accordance with the System of National Accounts 1968 (1968 SNA).,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
729,Sudan,2010,GDP real rates of growth (percent),8.3,Data compiled in accordance with the System of National Accounts 1968 (1968 SNA).,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
729,Sudan,2015,GDP real rates of growth (percent),4.0,Data compiled in accordance with the System of National Accounts 1968 (1968 SNA).,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
729,Sudan,2019,GDP real rates of growth (percent),1.3,Data compiled in accordance with the System of National Accounts 1968 (1968 SNA).,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
729,Sudan,2020,GDP real rates of growth (percent),-3.6,Data compiled in accordance with the System of National Accounts 1968 (1968 SNA).,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
729,Sudan,2021,GDP real rates of growth (percent),0.1,Data compiled in accordance with the System of National Accounts 1968 (1968 SNA).,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
736,Sudan [former],1995,GDP in current prices (millions of US dollars),"12,847",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
736,Sudan [former],2005,GDP in current prices (millions of US dollars),"35,183",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
736,Sudan [former],2010,GDP in current prices (millions of US dollars),"69,665",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
736,Sudan [former],1995,GDP per capita (US dollars),449,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
736,Sudan [former],2005,GDP per capita (US dollars),946,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
736,Sudan [former],2010,GDP per capita (US dollars),"1,603",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
736,Sudan [former],1995,GDP in constant 2015 prices (millions of US dollars),"29,907",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
736,Sudan [former],2005,GDP in constant 2015 prices (millions of US dollars),"59,423",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
736,Sudan [former],2010,GDP in constant 2015 prices (millions of US dollars),"79,231",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
736,Sudan [former],1995,GDP real rates of growth (percent),6.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
736,Sudan [former],2005,GDP real rates of growth (percent),9.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
736,Sudan [former],2010,GDP real rates of growth (percent),6.6,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
740,Suriname,1995,GDP in current prices (millions of US dollars),844,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
740,Suriname,2005,GDP in current prices (millions of US dollars),"2,193",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
740,Suriname,2010,GDP in current prices (millions of US dollars),"4,482",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
740,Suriname,2015,GDP in current prices (millions of US dollars),"5,126",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
740,Suriname,2019,GDP in current prices (millions of US dollars),"4,255",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
740,Suriname,2020,GDP in current prices (millions of US dollars),"4,159",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
740,Suriname,2021,GDP in current prices (millions of US dollars),"3,224",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
740,Suriname,1995,GDP per capita (US dollars),"1,943",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
740,Suriname,2005,GDP per capita (US dollars),"4,248",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
740,Suriname,2010,GDP per capita (US dollars),"8,207",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
740,Suriname,2015,GDP per capita (US dollars),"8,908",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
740,Suriname,2019,GDP per capita (US dollars),"7,088",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
740,Suriname,2020,GDP per capita (US dollars),"6,851",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
740,Suriname,2021,GDP per capita (US dollars),"5,259",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
740,Suriname,1995,GDP in constant 2015 prices (millions of US dollars),"2,507",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
740,Suriname,2005,GDP in constant 2015 prices (millions of US dollars),"3,523",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
740,Suriname,2010,GDP in constant 2015 prices (millions of US dollars),"4,534",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
740,Suriname,2015,GDP in constant 2015 prices (millions of US dollars),"5,126",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
740,Suriname,2019,GDP in constant 2015 prices (millions of US dollars),"5,256",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
740,Suriname,2020,GDP in constant 2015 prices (millions of US dollars),"4,417",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
740,Suriname,2021,GDP in constant 2015 prices (millions of US dollars),"4,296",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
740,Suriname,1995,GDP real rates of growth (percent),0.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
740,Suriname,2005,GDP real rates of growth (percent),3.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
740,Suriname,2010,GDP real rates of growth (percent),6.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
740,Suriname,2015,GDP real rates of growth (percent),-2.6,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
740,Suriname,2019,GDP real rates of growth (percent),1.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
740,Suriname,2020,GDP real rates of growth (percent),-16.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
740,Suriname,2021,GDP real rates of growth (percent),-2.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
752,Sweden,1995,GDP in current prices (millions of US dollars),"267,307",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
752,Sweden,2005,GDP in current prices (millions of US dollars),"392,219",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
752,Sweden,2010,GDP in current prices (millions of US dollars),"495,813",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
752,Sweden,2015,GDP in current prices (millions of US dollars),"505,104",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
752,Sweden,2019,GDP in current prices (millions of US dollars),"533,880",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
752,Sweden,2020,GDP in current prices (millions of US dollars),"547,054",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
752,Sweden,2021,GDP in current prices (millions of US dollars),"635,664",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
752,Sweden,1995,GDP per capita (US dollars),"30,520",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
752,Sweden,2005,GDP per capita (US dollars),"43,331",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
752,Sweden,2010,GDP per capita (US dollars),"52,849",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
752,Sweden,2015,GDP per capita (US dollars),"51,283",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
752,Sweden,2019,GDP per capita (US dollars),"51,995",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
752,Sweden,2020,GDP per capita (US dollars),"52,759",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
752,Sweden,2021,GDP per capita (US dollars),"60,730",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
752,Sweden,1995,GDP in constant 2015 prices (millions of US dollars),"305,837",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
752,Sweden,2005,GDP in constant 2015 prices (millions of US dollars),"415,273",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
752,Sweden,2010,GDP in constant 2015 prices (millions of US dollars),"453,619",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
752,Sweden,2015,GDP in constant 2015 prices (millions of US dollars),"505,104",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
752,Sweden,2019,GDP in constant 2015 prices (millions of US dollars),"549,821",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
752,Sweden,2020,GDP in constant 2015 prices (millions of US dollars),"537,889",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
752,Sweden,2021,GDP in constant 2015 prices (millions of US dollars),"565,187",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
752,Sweden,1995,GDP real rates of growth (percent),3.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
752,Sweden,2005,GDP real rates of growth (percent),2.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
752,Sweden,2010,GDP real rates of growth (percent),6.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
752,Sweden,2015,GDP real rates of growth (percent),4.5,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
752,Sweden,2019,GDP real rates of growth (percent),2.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
752,Sweden,2020,GDP real rates of growth (percent),-2.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
752,Sweden,2021,GDP real rates of growth (percent),5.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
756,Switzerland,1995,GDP in current prices (millions of US dollars),"353,142",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
756,Switzerland,2005,GDP in current prices (millions of US dollars),"420,553",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
756,Switzerland,2010,GDP in current prices (millions of US dollars),"603,434",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
756,Switzerland,2015,GDP in current prices (millions of US dollars),"702,150",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
756,Switzerland,2019,GDP in current prices (millions of US dollars),"731,718",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
756,Switzerland,2020,GDP in current prices (millions of US dollars),"752,248",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
756,Switzerland,2021,GDP in current prices (millions of US dollars),"812,867",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
756,Switzerland,1995,GDP per capita (US dollars),"50,174",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
756,Switzerland,2005,GDP per capita (US dollars),"56,614",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
756,Switzerland,2010,GDP per capita (US dollars),"77,142",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
756,Switzerland,2015,GDP per capita (US dollars),"84,783",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
756,Switzerland,2019,GDP per capita (US dollars),"85,326",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
756,Switzerland,2020,GDP per capita (US dollars),"87,080",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
756,Switzerland,2021,GDP per capita (US dollars),"93,525",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
756,Switzerland,1995,GDP in constant 2015 prices (millions of US dollars),"474,507",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
756,Switzerland,2005,GDP in constant 2015 prices (millions of US dollars),"571,056",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
756,Switzerland,2010,GDP in constant 2015 prices (millions of US dollars),"641,852",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
756,Switzerland,2015,GDP in constant 2015 prices (millions of US dollars),"702,150",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
756,Switzerland,2019,GDP in constant 2015 prices (millions of US dollars),"758,168",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
756,Switzerland,2020,GDP in constant 2015 prices (millions of US dollars),"740,026",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
756,Switzerland,2021,GDP in constant 2015 prices (millions of US dollars),"767,349",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
756,Switzerland,1995,GDP real rates of growth (percent),0.5,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
756,Switzerland,2005,GDP real rates of growth (percent),2.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
756,Switzerland,2010,GDP real rates of growth (percent),3.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
756,Switzerland,2015,GDP real rates of growth (percent),1.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
756,Switzerland,2019,GDP real rates of growth (percent),1.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
756,Switzerland,2020,GDP real rates of growth (percent),-2.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
756,Switzerland,2021,GDP real rates of growth (percent),3.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
760,Syrian Arab Republic,1995,GDP in current prices (millions of US dollars),"13,539",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
760,Syrian Arab Republic,2005,GDP in current prices (millions of US dollars),"28,397",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
760,Syrian Arab Republic,2010,GDP in current prices (millions of US dollars),"60,465",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
760,Syrian Arab Republic,2015,GDP in current prices (millions of US dollars),"19,967",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
760,Syrian Arab Republic,2019,GDP in current prices (millions of US dollars),"26,597",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
760,Syrian Arab Republic,2020,GDP in current prices (millions of US dollars),"23,208",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
760,Syrian Arab Republic,2021,GDP in current prices (millions of US dollars),"19,719",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
760,Syrian Arab Republic,1995,GDP per capita (US dollars),946,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
760,Syrian Arab Republic,2005,GDP per capita (US dollars),"1,528",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
760,Syrian Arab Republic,2010,GDP per capita (US dollars),"2,707",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
760,Syrian Arab Republic,2015,GDP per capita (US dollars),"1,040",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
760,Syrian Arab Republic,2019,GDP per capita (US dollars),"1,323",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
760,Syrian Arab Republic,2020,GDP per capita (US dollars),"1,117",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
760,Syrian Arab Republic,2021,GDP per capita (US dollars),925,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
760,Syrian Arab Republic,1995,GDP in constant 2015 prices (millions of US dollars),"20,842",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
760,Syrian Arab Republic,2005,GDP in constant 2015 prices (millions of US dollars),"31,873",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
760,Syrian Arab Republic,2010,GDP in constant 2015 prices (millions of US dollars),"40,497",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
760,Syrian Arab Republic,2015,GDP in constant 2015 prices (millions of US dollars),"19,967",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
760,Syrian Arab Republic,2019,GDP in constant 2015 prices (millions of US dollars),"19,693",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
760,Syrian Arab Republic,2020,GDP in constant 2015 prices (millions of US dollars),"17,625",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
