T13,Gross domestic product and gross domestic product per capita,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
202,Sub-Saharan Africa,2020,GDP per capita (US dollars),"1,518",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
202,Sub-Saharan Africa,2021,GDP per capita (US dollars),"1,648",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
202,Sub-Saharan Africa,1995,GDP in constant 2015 prices (millions of US dollars),"629,697",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
202,Sub-Saharan Africa,2005,GDP in constant 2015 prices (millions of US dollars),"976,198",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
202,Sub-Saharan Africa,2010,GDP in constant 2015 prices (millions of US dollars),"1,295,491",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
202,Sub-Saharan Africa,2015,GDP in constant 2015 prices (millions of US dollars),"1,634,789",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
202,Sub-Saharan Africa,2019,GDP in constant 2015 prices (millions of US dollars),"1,799,047",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
202,Sub-Saharan Africa,2020,GDP in constant 2015 prices (millions of US dollars),"1,762,949",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
202,Sub-Saharan Africa,2021,GDP in constant 2015 prices (millions of US dollars),"1,841,801",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
202,Sub-Saharan Africa,1995,GDP real rates of growth (percent),3.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
202,Sub-Saharan Africa,2005,GDP real rates of growth (percent),6.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
202,Sub-Saharan Africa,2010,GDP real rates of growth (percent),6.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
202,Sub-Saharan Africa,2015,GDP real rates of growth (percent),3.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
202,Sub-Saharan Africa,2019,GDP real rates of growth (percent),2.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
